file_id,subset_id,relative_file_path,rpm_mean,torque_mean_nm,rpm_bin,torque_bin,stratum,split,split_version,random_seed
A-0000,A_full_set,dataset/audio/A_full_set/001_Engine-A.wav,1435.0161818630972,-13.552642191651714,0,1,R0_T1,train,SPLIT-001,42
A-0001,A_full_set,dataset/audio/A_full_set/002_Engine-A.wav,1143.547198701357,165.08299726780837,0,2,R0_T2,train,SPLIT-001,42
A-0002,A_full_set,dataset/audio/A_full_set/003_Engine-A.wav,5336.456116880505,-22.20480807751498,3,0,R3_T0,train,SPLIT-001,42
A-0003,A_full_set,dataset/audio/A_full_set/004_Engine-A.wav,2127.8594350998574,1.9248336955531715,1,1,R1_T1,validation,SPLIT-001,42
A-0004,A_full_set,dataset/audio/A_full_set/005_Engine-A.wav,1197.9045146450574,158.6580518705044,0,2,R0_T2,train,SPLIT-001,42
A-0005,A_full_set,dataset/audio/A_full_set/006_Engine-A.wav,2232.5108608256187,-34.28137957565183,1,0,R1_T0,train,SPLIT-001,42
A-0006,A_full_set,dataset/audio/A_full_set/007_Engine-A.wav,648.8434148028614,7.425955692280922,0,1,R0_T1,validation,SPLIT-001,42
A-0007,A_full_set,dataset/audio/A_full_set/008_Engine-A.wav,5508.232054154724,152.54962600666656,3,2,R3_T2,train,SPLIT-001,42
A-0008,A_full_set,dataset/audio/A_full_set/009_Engine-A.wav,3363.101113585599,171.82572026239825,2,2,R2_T2,validation,SPLIT-001,42
A-0009,A_full_set,dataset/audio/A_full_set/010_Engine-A.wav,4547.9325793299895,85.92837904849996,3,2,R3_T2,train,SPLIT-001,42
A-0010,A_full_set,dataset/audio/A_full_set/011_Engine-A.wav,3788.991159992166,-85.21224479365155,2,0,R2_T0,test,SPLIT-001,42
A-0011,A_full_set,dataset/audio/A_full_set/012_Engine-A.wav,5646.948964292118,-16.441665587386463,3,1,R3_T1,train,SPLIT-001,42
A-0012,A_full_set,dataset/audio/A_full_set/013_Engine-A.wav,2865.2097665843603,165.83980002054355,1,2,R1_T2,train,SPLIT-001,42
A-0013,A_full_set,dataset/audio/A_full_set/014_Engine-A.wav,2715.621757866524,455.91268560756174,1,3,R1_T3,train,SPLIT-001,42
A-0014,A_full_set,dataset/audio/A_full_set/015_Engine-A.wav,743.9470748170115,-7.662276680857991,0,1,R0_T1,test,SPLIT-001,42
A-0015,A_full_set,dataset/audio/A_full_set/016_Engine-A.wav,2855.5250798460597,287.3857157534054,1,3,R1_T3,train,SPLIT-001,42
A-0016,A_full_set,dataset/audio/A_full_set/017_Engine-A.wav,5558.601123013794,189.6934573372528,3,2,R3_T2,validation,SPLIT-001,42
A-0017,A_full_set,dataset/audio/A_full_set/018_Engine-A.wav,3598.37461255385,-60.93552593768973,2,0,R2_T0,train,SPLIT-001,42
A-0018,A_full_set,dataset/audio/A_full_set/019_Engine-A.wav,2899.9274328795227,-49.80592040188591,1,0,R1_T0,validation,SPLIT-001,42
A-0019,A_full_set,dataset/audio/A_full_set/020_Engine-A.wav,1498.2322579153831,-17.0809165313638,0,1,R0_T1,test,SPLIT-001,42
A-0020,A_full_set,dataset/audio/A_full_set/021_Engine-A.wav,2893.656139322089,169.68702910715325,1,2,R1_T2,train,SPLIT-001,42
A-0021,A_full_set,dataset/audio/A_full_set/022_Engine-A.wav,5727.639209674949,454.1731725346429,3,3,R3_T3,test,SPLIT-001,42
A-0022,A_full_set,dataset/audio/A_full_set/023_Engine-A.wav,3898.1029287959536,226.54151367227527,2,3,R2_T3,test,SPLIT-001,42
A-0023,A_full_set,dataset/audio/A_full_set/024_Engine-A.wav,3361.109129846257,-59.77773676719769,2,0,R2_T0,train,SPLIT-001,42
A-0024,A_full_set,dataset/audio/A_full_set/025_Engine-A.wav,1105.0621782214985,-7.254858611398919,0,1,R0_T1,train,SPLIT-001,42
A-0025,A_full_set,dataset/audio/A_full_set/026_Engine-A.wav,1806.510924776072,-26.15137813537101,1,0,R1_T0,test,SPLIT-001,42
A-0026,A_full_set,dataset/audio/A_full_set/027_Engine-A.wav,2980.756267041049,213.11481584378373,1,2,R1_T2,train,SPLIT-001,42
A-0027,A_full_set,dataset/audio/A_full_set/028_Engine-A.wav,2759.106478393885,-49.23111504655543,1,0,R1_T0,train,SPLIT-001,42
A-0028,A_full_set,dataset/audio/A_full_set/029_Engine-A.wav,5133.458681265669,452.46497659383743,3,3,R3_T3,train,SPLIT-001,42
A-0029,A_full_set,dataset/audio/A_full_set/030_Engine-A.wav,3640.12176648065,168.96693216752877,2,2,R2_T2,train,SPLIT-001,42
A-0030,A_full_set,dataset/audio/A_full_set/031_Engine-A.wav,5602.841063321215,-67.78247596569432,3,0,R3_T0,train,SPLIT-001,42
A-0031,A_full_set,dataset/audio/A_full_set/032_Engine-A.wav,6313.836515276102,322.5875840026097,3,3,R3_T3,test,SPLIT-001,42
A-0032,A_full_set,dataset/audio/A_full_set/033_Engine-A.wav,3891.192217570979,-69.59279533324202,2,0,R2_T0,train,SPLIT-001,42
A-0033,A_full_set,dataset/audio/A_full_set/034_Engine-A.wav,1332.961373988206,-11.391501853136512,0,1,R0_T1,train,SPLIT-001,42
A-0034,A_full_set,dataset/audio/A_full_set/035_Engine-A.wav,2573.109830944196,-47.02520778831751,1,0,R1_T0,train,SPLIT-001,42
A-0035,A_full_set,dataset/audio/A_full_set/036_Engine-A.wav,4846.283491904819,36.54776549920803,3,1,R3_T1,train,SPLIT-001,42
A-0036,A_full_set,dataset/audio/A_full_set/037_Engine-A.wav,1505.028728991193,179.6683140625298,0,2,R0_T2,train,SPLIT-001,42
A-0037,A_full_set,dataset/audio/A_full_set/038_Engine-A.wav,1125.961659182566,-4.810048166171525,0,1,R0_T1,validation,SPLIT-001,42
A-0038,A_full_set,dataset/audio/A_full_set/039_Engine-A.wav,788.3185017853975,-10.207086242735386,0,1,R0_T1,train,SPLIT-001,42
A-0039,A_full_set,dataset/audio/A_full_set/040_Engine-A.wav,3437.3634643347928,112.9709882141775,2,2,R2_T2,test,SPLIT-001,42
A-0040,A_full_set,dataset/audio/A_full_set/041_Engine-A.wav,1825.3230872839124,-22.36503906043241,1,0,R1_T0,train,SPLIT-001,42
A-0041,A_full_set,dataset/audio/A_full_set/042_Engine-A.wav,4594.944680997027,-74.3694696193788,3,0,R3_T0,train,SPLIT-001,42
A-0042,A_full_set,dataset/audio/A_full_set/043_Engine-A.wav,5340.684388840425,-84.30647428765853,3,0,R3_T0,train,SPLIT-001,42
A-0043,A_full_set,dataset/audio/A_full_set/044_Engine-A.wav,5515.78415402875,565.0415027690774,3,3,R3_T3,train,SPLIT-001,42
A-0044,A_full_set,dataset/audio/A_full_set/045_Engine-A.wav,4659.399129252447,207.9158993852817,3,2,R3_T2,train,SPLIT-001,42
A-0045,A_full_set,dataset/audio/A_full_set/046_Engine-A.wav,1767.4825807897057,-25.914478922277933,0,0,R0_T0,train,SPLIT-001,42
A-0046,A_full_set,dataset/audio/A_full_set/047_Engine-A.wav,1337.5197078532246,-8.472739426947351,0,1,R0_T1,test,SPLIT-001,42
A-0047,A_full_set,dataset/audio/A_full_set/048_Engine-A.wav,2861.118663488042,384.0444142514774,1,3,R1_T3,train,SPLIT-001,42
A-0048,A_full_set,dataset/audio/A_full_set/049_Engine-A.wav,3317.21153931243,313.6445858549619,2,3,R2_T3,test,SPLIT-001,42
A-0049,A_full_set,dataset/audio/A_full_set/050_Engine-A.wav,3278.778152155682,166.04792318369962,2,2,R2_T2,train,SPLIT-001,42
A-0050,A_full_set,dataset/audio/A_full_set/051_Engine-A.wav,2157.868857758478,-43.01560957580401,1,0,R1_T0,train,SPLIT-001,42
A-0051,A_full_set,dataset/audio/A_full_set/052_Engine-A.wav,972.1860522024846,-6.7098153206466655,0,1,R0_T1,train,SPLIT-001,42
A-0052,A_full_set,dataset/audio/A_full_set/053_Engine-A.wav,3842.189829136298,170.9952169382152,2,2,R2_T2,test,SPLIT-001,42
A-0053,A_full_set,dataset/audio/A_full_set/054_Engine-A.wav,1036.8585683269384,-14.503365235202937,0,1,R0_T1,train,SPLIT-001,42
A-0054,A_full_set,dataset/audio/A_full_set/055_Engine-A.wav,3239.2221445636696,-53.869595049519525,2,0,R2_T0,train,SPLIT-001,42
A-0055,A_full_set,dataset/audio/A_full_set/056_Engine-A.wav,5760.226747466297,164.90121210816753,3,2,R3_T2,train,SPLIT-001,42
A-0056,A_full_set,dataset/audio/A_full_set/057_Engine-A.wav,2100.625217078239,-31.238030319608104,1,0,R1_T0,train,SPLIT-001,42
A-0057,A_full_set,dataset/audio/A_full_set/058_Engine-A.wav,4550.715409772506,284.72833452509025,3,3,R3_T3,train,SPLIT-001,42
A-0058,A_full_set,dataset/audio/A_full_set/059_Engine-A.wav,4379.429699864168,119.5000613349563,2,2,R2_T2,train,SPLIT-001,42
A-0059,A_full_set,dataset/audio/A_full_set/060_Engine-A.wav,5989.708818378858,-95.93390836380422,3,0,R3_T0,train,SPLIT-001,42
A-0060,A_full_set,dataset/audio/A_full_set/061_Engine-A.wav,6299.975436959563,225.87690127771447,3,3,R3_T3,train,SPLIT-001,42
A-0061,A_full_set,dataset/audio/A_full_set/062_Engine-A.wav,1799.400737365591,277.7624336136328,1,3,R1_T3,test,SPLIT-001,42
A-0062,A_full_set,dataset/audio/A_full_set/063_Engine-A.wav,321.26727685695744,11.719818683820687,0,1,R0_T1,train,SPLIT-001,42
