feature,importance
spectral_centroid_hz,0.7316737814584482
band_energy_1000_2000_hz,0.11042202851762228
spectral_rolloff_85_hz,0.0851957468544148
dominant_frequency_hz,0.04813453450180179
zero_crossing_rate,0.004296246394662115
mfcc_08_mean,0.0032177451482504906
peak_abs,0.0029530179703372004
mfcc_01_mean,0.002880663807737867
mfcc_03_mean,0.0022401612074884262
spectral_flatness,0.001297886330389717
band_energy_4000_8000_hz,0.0012468913820261752
mfcc_11_mean,0.0009327387384749615
mfcc_05_mean,0.0006975128056607562
rms,0.0006828382519899999
spectral_bandwidth_hz,0.0005803516468674096
band_energy_500_1000_hz,0.0005694177322705299
mfcc_12_mean,0.0005660027243726403
mfcc_04_mean,0.000455477013041467
mfcc_13_mean,0.00032748284117213854
mfcc_06_mean,0.00027553818915559215
band_energy_250_500_hz,0.0002531514170309771
band_energy_0_250_hz,0.00020119423752744912
mfcc_07_mean,0.00019096969214642953
band_energy_2000_4000_hz,0.0001812504483805774
mfcc_10_mean,0.00017388822599505278
mfcc_09_mean,0.00012998478772865106
mfcc_02_mean,0.00012422696021354538
mfcc_03_std,2.4782828643241444e-05
mfcc_10_std,2.1326761393528408e-05
crest_factor,9.24167283122124e-06
mfcc_09_std,9.052295425314016e-06
mfcc_02_std,8.319080317225723e-06
mfcc_08_std,4.309726828622141e-06
mfcc_13_std,4.239139332076938e-06
mfcc_06_std,3.621969427088103e-06
mfcc_07_std,2.8836987234310785e-06
mfcc_05_std,2.8571681258888254e-06
mfcc_12_std,2.73689302018164e-06
mfcc_04_std,2.706618393606763e-06
mfcc_11_std,2.2262891086574497e-06
mfcc_01_std,9.66573222608271e-07
