epoch,train_loss,validation_loss,validation_mae_rpm,learning_rate,device
1,0.09804995857754015,0.014609567222244482,164.8187255859375,0.001,cuda
2,0.052812405639323615,0.04125449951692537,270.5372619628906,0.001,cuda
3,0.04332363140704,0.00962159495546407,128.35302734375,0.001,cuda
4,0.039378997577917456,0.011051862213648731,150.8953399658203,0.001,cuda
5,0.042088090006536384,0.007226015343740002,118.81301879882812,0.001,cuda
6,0.03706424728646354,0.021728374499069305,196.447021484375,0.001,cuda
7,0.0382679228205819,0.005419783246547017,101.62303924560547,0.001,cuda
8,0.03356607744789027,0.03626966364764597,259.85272216796875,0.001,cuda
9,0.030683644158523656,0.011358148023150489,133.52297973632812,0.001,cuda
10,0.031317843904624665,0.06130592321129609,373.4806823730469,0.001,cuda
11,0.030768658751427574,0.0221275321018361,205.90777587890625,0.001,cuda
12,0.030732350863495732,0.011857652143721321,161.5547637939453,0.001,cuda
13,0.02940785982319535,0.0364918313895635,247.12063598632812,0.001,cuda
14,0.02952608601902861,0.008855689121969665,141.3987579345703,0.001,cuda
