epoch,train_joint_loss,validation_joint_loss,validation_rpm_mae,validation_torque_mae,validation_joint_normalized_mae,learning_rate,device
1,0.31061892891895987,0.15143539001254644,196.24537658691406,70.22409057617188,0.26282841798698375,0.001,cuda
2,0.1270383151387934,0.06282057222074751,126.11421966552734,40.87287521362305,0.15642383546380245,0.001,cuda
3,0.10252493528074219,0.07097598972686142,186.2762451171875,38.0987434387207,0.16573438416373415,0.001,cuda
4,0.08877129019142384,0.06091636255023529,109.37312316894531,39.48835754394531,0.14750947025063885,0.001,cuda
5,0.08179411278501594,0.07229599806923673,113.43998718261719,36.07069778442383,0.13866692004645384,0.001,cuda
6,0.07435512190701765,0.08815697465984394,254.6303253173828,42.01922607421875,0.197051458246489,0.001,cuda
7,0.07816193343587494,0.061448088102149176,119.19100189208984,35.937530517578125,0.13994405955041236,0.001,cuda
8,0.06865985470793017,0.07539020515680142,205.15293884277344,41.243125915527344,0.18042858028783426,0.001,cuda
9,0.07351131590319351,0.11434821630287606,222.62403869628906,48.519290924072266,0.20683109012177103,0.001,cuda
10,0.06834888742642896,0.07086090850252434,161.17108154296875,40.61056900024414,0.16582017449856917,0.001,cuda
11,0.06773564537561345,0.11286992254667516,125.66979217529297,48.34724044799805,0.17821253523382358,0.001,cuda
12,0.06399952629028727,0.08429512593484116,112.3062973022461,38.697593688964844,0.14604120060641151,0.001,cuda
