epoch,train_joint_loss,validation_rpm_mae,validation_torque_mae,validation_joint_normalized_mae,device
1,0.25942744686188723,217.76954650878906,54.451393127441406,0.22281851451558726,cuda
2,0.09844832722204017,185.5355224609375,54.557254791259766,0.21378196747446068,cuda
3,0.07230141590440715,120.97280883789062,33.05321502685547,0.13200286661120428,cuda
4,0.06384581737850877,121.35936737060547,68.01107788085938,0.23462419191415462,cuda
5,0.057148892517653004,239.31752014160156,78.17738342285156,0.2986401061675871,cuda
6,0.05189244378570408,131.498046875,30.091333389282227,0.1263695736666282,cuda
7,0.049084877256183206,129.062744140625,34.681121826171875,0.13912234114695124,cuda
8,0.04320197464160054,128.26837158203125,41.314109802246094,0.15834234084311816,cuda
9,0.042361046853188256,95.72889709472656,44.556644439697266,0.1584150935423768,cuda
10,0.04295395084215483,141.80838012695312,33.438175201416016,0.13917344784770455,cuda
11,0.04043246346156039,111.21980285644531,29.12549591064453,0.11765725724962384,cuda
12,0.03831681870679813,142.12510681152344,27.02252769470215,0.12045226582096988,cuda
13,0.03834911478443392,149.476806640625,31.486072540283203,0.13567279998975013,cuda
14,0.03742350312509437,112.16144561767578,27.298778533935547,0.11257370433562898,cuda
15,0.035931093938622705,137.7108917236328,26.24987030029297,0.11690655203170872,cuda
16,0.03467459676060154,153.12991333007812,37.30183029174805,0.1537860274155594,cuda
17,0.03458385477676489,115.66838073730469,31.761362075805664,0.1266765445773394,cuda
18,0.03254906913463668,154.68344116210938,27.70337677001953,0.12609033255598542,cuda
19,0.032054756476941816,140.63888549804688,34.01987838745117,0.14054009327617967,cuda
20,0.034504142792161116,113.1588134765625,28.087831497192383,0.11517670508375652,cuda
21,0.031512467572587084,130.76686096191406,33.39454650878906,0.13584377853105478,cuda
